,holiday,workingday,temp,atemp,humidity,windspeed,count,hour,day,month,year,season_1,season_2,season_3,season_4,weather_1,weather_2,weather_3,weather_4
0,0,0,9.84,14.395,81,0.0,16,0,5,1,0,1,0,0,0,1,0,0,0
1,0,0,9.02,13.635,80,0.0,40,1,5,1,0,1,0,0,0,1,0,0,0
2,0,0,9.02,13.635,80,0.0,32,2,5,1,0,1,0,0,0,1,0,0,0
3,0,0,9.84,14.395,75,0.0,13,3,5,1,0,1,0,0,0,1,0,0,0
4,0,0,9.84,14.395,75,0.0,1,4,5,1,0,1,0,0,0,1,0,0,0
5,0,0,9.84,12.88,75,6.0032,1,5,5,1,0,1,0,0,0,0,1,0,0
6,0,0,9.02,13.635,80,0.0,2,6,5,1,0,1,0,0,0,1,0,0,0
7,0,0,8.2,12.88,86,0.0,3,7,5,1,0,1,0,0,0,1,0,0,0
8,0,0,9.84,14.395,75,0.0,8,8,5,1,0,1,0,0,0,1,0,0,0
9,0,0,13.12,17.425,76,0.0,14,9,5,1,0,1,0,0,0,1,0,0,0
10,0,0,15.58,19.695,76,16.9979,36,10,5,1,0,1,0,0,0,1,0,0,0
11,0,0,14.76,16.665,81,19.0012,56,11,5,1,0,1,0,0,0,1,0,0,0
12,0,0,17.22,21.21,77,19.0012,84,12,5,1,0,1,0,0,0,1,0,0,0
13,0,0,18.86,22.725,72,19.9995,94,13,5,1,0,1,0,0,0,0,1,0,0
14,0,0,18.86,22.725,72,19.0012,106,14,5,1,0,1,0,0,0,0,1,0,0
15,0,0,18.04,21.97,77,19.9995,110,15,5,1,0,1,0,0,0,0,1,0,0
16,0,0,17.22,21.21,82,19.9995,93,16,5,1,0,1,0,0,0,0,1,0,0
17,0,0,18.04,21.97,82,19.0012,67,17,5,1,0,1,0,0,0,0,1,0,0
18,0,0,17.22,21.21,88,16.9979,35,18,5,1,0,1,0,0,0,0,0,1,0
19,0,0,17.22,21.21,88,16.9979,37,19,5,1,0,1,0,0,0,0,0,1,0
20,0,0,16.4,20.455,87,16.9979,36,20,5,1,0,1,0,0,0,0,1,0,0
21,0,0,16.4,20.455,87,12.998,34,21,5,1,0,1,0,0,0,0,1,0,0
22,0,0,16.4,20.455,94,15.0013,28,22,5,1,0,1,0,0,0,0,1,0,0
23,0,0,18.86,22.725,88,19.9995,39,23,5,1,0,1,0,0,0,0,1,0,0
24,0,0,18.86,22.725,88,19.9995,17,0,6,1,0,1,0,0,0,0,1,0,0
25,0,0,18.04,21.97,94,16.9979,17,1,6,1,0,1,0,0,0,0,1,0,0
26,0,0,17.22,21.21,100,19.0012,9,2,6,1,0,1,0,0,0,0,1,0,0
27,0,0,18.86,22.725,94,12.998,6,3,6,1,0,1,0,0,0,0,1,0,0
28,0,0,18.86,22.725,94,12.998,3,4,6,1,0,1,0,0,0,0,1,0,0
29,0,0,17.22,21.21,77,19.9995,2,6,6,1,0,1,0,0,0,0,0,1,0
30,0,0,16.4,20.455,76,12.998,1,7,6,1,0,1,0,0,0,0,1,0,0
31,0,0,16.4,20.455,71,15.0013,8,8,6,1,0,1,0,0,0,0,0,1,0
32,0,0,15.58,19.695,76,15.0013,20,9,6,1,0,1,0,0,0,0,1,0,0
33,0,0,14.76,17.425,81,15.0013,53,10,6,1,0,1,0,0,0,0,1,0,0
34,0,0,14.76,16.665,71,16.9979,70,11,6,1,0,1,0,0,0,0,1,0,0
35,0,0,14.76,16.665,66,19.9995,93,12,6,1,0,1,0,0,0,0,1,0,0
36,0,0,14.76,17.425,66,8.9981,75,13,6,1,0,1,0,0,0,0,1,0,0
37,0,0,14.76,17.425,76,12.998,59,14,6,1,0,1,0,0,0,0,0,1,0
38,0,0,13.94,16.665,81,11.0014,74,15,6,1,0,1,0,0,0,0,0,1,0
39,0,0,13.94,16.665,71,11.0014,76,16,6,1,0,1,0,0,0,0,0,1,0
40,0,0,13.94,16.665,57,12.998,65,17,6,1,0,1,0,0,0,1,0,0,0
41,0,0,14.76,16.665,46,22.0028,53,18,6,1,0,1,0,0,0,0,1,0,0
42,0,0,13.12,14.395,42,30.0026,30,19,6,1,0,1,0,0,0,1,0,0,0
43,0,0,12.3,13.635,39,23.9994,22,20,6,1,0,1,0,0,0,1,0,0,0
44,0,0,10.66,11.365,44,22.0028,31,21,6,1,0,1,0,0,0,1,0,0,0
45,0,0,9.84,10.605,44,19.9995,9,22,6,1,0,1,0,0,0,1,0,0,0
46,0,0,9.02,11.365,47,11.0014,8,23,6,1,0,1,0,0,0,1,0,0,0
47,0,1,9.02,9.85,44,23.9994,5,0,0,1,0,1,0,0,0,1,0,0,0
48,0,1,8.2,8.335,44,27.9993,2,1,0,1,0,1,0,0,0,1,0,0,0
49,0,1,6.56,6.82,47,26.0027,1,4,0,1,0,1,0,0,0,1,0,0,0
50,0,1,6.56,6.82,47,19.0012,3,5,0,1,0,1,0,0,0,1,0,0,0
51,0,1,5.74,5.305,50,26.0027,30,6,0,1,0,1,0,0,0,1,0,0,0
52,0,1,5.74,6.82,50,12.998,64,7,0,1,0,1,0,0,0,1,0,0,0
53,0,1,5.74,6.06,50,19.0012,154,8,0,1,0,1,0,0,0,1,0,0,0
54,0,1,6.56,6.82,43,26.0027,88,9,0,1,0,1,0,0,0,1,0,0,0
55,0,1,7.38,8.335,43,16.9979,44,10,0,1,0,1,0,0,0,1,0,0,0
56,0,1,8.2,9.09,40,22.0028,51,11,0,1,0,1,0,0,0,1,0,0,0
57,0,1,9.02,10.605,35,19.9995,61,12,0,1,0,1,0,0,0,1,0,0,0
58,0,1,9.84,10.605,35,19.0012,61,13,0,1,0,1,0,0,0,1,0,0,0
59,0,1,10.66,12.12,30,19.0012,77,14,0,1,0,1,0,0,0,1,0,0,0
60,0,1,10.66,12.12,30,16.9979,72,15,0,1,0,1,0,0,0,1,0,0,0
61,0,1,10.66,12.12,30,16.9979,76,16,0,1,0,1,0,0,0,1,0,0,0
62,0,1,9.84,11.365,30,15.0013,157,17,0,1,0,1,0,0,0,1,0,0,0
63,0,1,9.84,12.88,32,7.0015,157,18,0,1,0,1,0,0,0,1,0,0,0
64,0,1,8.2,12.88,47,0.0,110,19,0,1,0,1,0,0,0,1,0,0,0
65,0,1,8.2,11.365,47,7.0015,52,20,0,1,0,1,0,0,0,1,0,0,0
66,0,1,7.38,9.85,64,8.9981,52,21,0,1,0,1,0,0,0,1,0,0,0
67,0,1,5.74,7.575,69,8.9981,20,22,0,1,0,1,0,0,0,1,0,0,0
68,0,1,7.38,10.605,55,7.0015,12,23,0,1,0,1,0,0,0,1,0,0,0
69,0,1,6.56,9.09,55,7.0015,5,0,1,1,0,1,0,0,0,1,0,0,0
70,0,1,6.56,9.09,59,7.0015,2,1,1,1,0,1,0,0,0,1,0,0,0
71,0,1,5.74,7.575,63,8.9981,1,2,1,1,0,1,0,0,0,1,0,0,0
72,0,1,5.74,9.09,63,6.0032,2,4,1,1,0,1,0,0,0,1,0,0,0
73,0,1,4.92,7.575,68,7.0015,4,5,1,1,0,1,0,0,0,1,0,0,0
74,0,1,4.92,7.575,74,7.0015,36,6,1,1,0,1,0,0,0,1,0,0,0
75,0,1,4.92,7.575,74,8.9981,94,7,1,1,0,1,0,0,0,1,0,0,0
76,0,1,5.74,7.575,69,11.0014,179,8,1,1,0,1,0,0,0,1,0,0,0
